DateTime Stamp,Signed Firmware Version,Ultrasound range( (signal strength)-(0-100)Db,Updates per second,Ranges(m),2D Camera resolution,Frames per second,Point cloud Density,Points per second,ultrasound data type,camera data type,lidar data type,operation ,Abnormality type,Potential Attack type
2023-02-16 14:37:00,1.2.3,13,100,4,RGB: 1024 x 768,52,PCD: 1024 x 1024,10086,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 14:37:30,1.2.3,80,36,2,RGB: 1024 x 768,46,PCD: 1024 x 1024,17726,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 14:38:00,1.2.5,66,102,0,RGB: 1024 x 768,56,PCD: 1024 x 1024,25649,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 14:38:30,1.2.5,30,107,5,RGB: 1024 x 768,15,PCD: 1024 x 1024,33039,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 14:39:00,1.2.5,59,52,4,RGB: 1024 x 768,19,PCD: 1024 x 1024,13693,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 14:39:30,1.2.3,99,69,5,RGB: 1024 x 768,50,PCD: 1024 x 1024,38191,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 14:40:00,1.2.3,25,86,3,RGB: 1024 x 768,40,PCD: 1024 x 1024,11662,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 14:40:30,1.2.4,77,65,6,RGB: 1024 x 768,43,PCD: 1024 x 1024,13003,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 14:41:00,1.2.4,77,114,5,RGB: 1024 x 768,32,PCD: 1024 x 1024,23752,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 14:41:30,1.2.5,85,108,5,RGB: 1024 x 768,17,PCD: 1024 x 1024,10070,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 14:42:00,1.2.3,33,70,2,RGB: 1024 x 768,41,PCD: 1024 x 1024,13182,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 14:42:30,1.2.3,66,39,6,RGB: 1024 x 768,28,PCD: 1024 x 1024,31830,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 14:43:00,1.2.3,79,34,5,RGB: 1024 x 768,18,PCD: 1024 x 1024,24856,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 14:43:30,1.2.3,28,108,6,RGB: 1024 x 768,33,PCD: 1024 x 1024,39994,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 14:44:00,1.2.4,13,34,5,RGB: 1024 x 768,30,PCD: 1024 x 1024,20474,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 14:44:30,1.2.5,28,36,5,RGB: 1024 x 768,43,PCD: 1024 x 1024,20887,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 14:45:00,1.2.5,51,113,6,RGB: 1024 x 768,40,PCD: 1024 x 1024,16067,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 14:45:30,1.2.3,90,71,6,RGB: 1024 x 768,32,PCD: 1024 x 1024,30729,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 14:46:00,1.2.3,2,59,6,RGB: 1024 x 768,21,PCD: 1024 x 1024,23022,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 14:46:30,1.2.5,65,47,0,RGB: 1024 x 768,21,PCD: 1024 x 1024,39087,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 14:47:00,1.2.3,88,66,6,RGB: 1024 x 768,38,PCD: 1024 x 1024,37791,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 14:47:30,1.2.5,54,66,0,RGB: 1024 x 768,35,PCD: 1024 x 1024,11695,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 14:48:00,1.2.4,38,109,0,RGB: 1024 x 768,50,PCD: 1024 x 1024,35842,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 14:48:30,1.2.3,27,89,4,RGB: 1024 x 768,51,PCD: 1024 x 1024,22427,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 14:49:00,1.2.4,78,86,4,RGB: 1024 x 768,42,PCD: 1024 x 1024,25597,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 14:49:30,1.2.3,70,63,6,RGB: 1024 x 768,40,PCD: 1024 x 1024,28349,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 14:50:00,1.2.5,82,98,3,RGB: 1024 x 768,38,PCD: 1024 x 1024,27973,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 14:50:30,1.2.3,39,35,5,RGB: 1024 x 768,23,PCD: 1024 x 1024,27437,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 14:51:00,1.2.3,16,39,1,RGB: 1024 x 768,49,PCD: 1024 x 1024,20561,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 14:51:30,1.2.5,26,89,3,RGB: 1024 x 768,20,PCD: 1024 x 1024,11182,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 14:52:00,1.2.5,23,77,0,RGB: 1024 x 768,24,PCD: 1024 x 1024,19290,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 14:52:30,1.2.5,46,59,0,RGB: 1024 x 768,52,PCD: 1024 x 1024,12228,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 14:53:00,1.2.4,67,48,4,RGB: 1024 x 768,19,PCD: 1024 x 1024,21388,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 14:53:30,1.2.5,49,77,2,RGB: 1024 x 768,53,PCD: 1024 x 1024,19475,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 14:54:00,1.2.3,96,51,3,RGB: 1024 x 768,20,PCD: 1024 x 1024,19432,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 14:54:30,1.2.3,45,117,6,RGB: 1024 x 768,42,PCD: 1024 x 1024,18446,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 14:55:00,1.2.4,84,55,2,RGB: 1024 x 768,59,PCD: 1024 x 1024,38961,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 14:55:30,1.2.3,153,172,6,RGB: 1024 x 768,93,PCD: 1024 x 1024,13805,alphanumeric array,alphanumeric array,numeric array,not normal,suspicious,Potential brute-force attack
2023-02-16 14:56:00,1.2.4,67,88,0,RGB: 1024 x 768,33,PCD: 1024 x 1024,36696,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 14:56:30,1.2.3,83,53,5,RGB: 1024 x 768,60,PCD: 1024 x 1024,28263,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 14:57:00,1.2.5,75,58,3,RGB: 1024 x 768,29,PCD: 1024 x 1024,35940,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 14:57:30,1.2.4,38,115,6,RGB: 1024 x 768,25,PCD: 1024 x 1024,28942,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 14:58:00,1.2.3,48,87,2,RGB: 1024 x 768,39,PCD: 1024 x 1024,24203,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 14:58:30,1.2.3,85,55,5,RGB: 1024 x 768,33,PCD: 1024 x 1024,32920,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 14:59:00,1.2.4,2,73,0,RGB: 1024 x 768,47,PCD: 1024 x 1024,24796,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 14:59:30,1.2.4,95,112,4,RGB: 1024 x 768,22,PCD: 1024 x 1024,32010,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 15:00:00,1.2.5,33,43,6,RGB: 1024 x 768,48,PCD: 1024 x 1024,11180,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 15:00:30,1.2.3,44,65,3,RGB: 1024 x 768,29,PCD: 1024 x 1024,12792,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 15:01:00,1.2.5,47,99,1,RGB: 1024 x 768,47,PCD: 1024 x 1024,21735,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 15:01:30,1.2.4,58,108,4,RGB: 1024 x 768,18,PCD: 1024 x 1024,32188,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 15:02:00,1.2.3,24,64,1,RGB: 1024 x 768,49,PCD: 1024 x 1024,15473,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 15:02:30,1.2.4,84,75,0,RGB: 1024 x 768,46,PCD: 1024 x 1024,15409,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 15:03:00,1.2.4,14,120,4,RGB: 1024 x 768,46,PCD: 1024 x 1024,27500,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 15:03:30,1.2.5,84,41,1,RGB: 1024 x 768,54,PCD: 1024 x 1024,36711,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 15:04:00,1.2.3,93,115,5,RGB: 1024 x 768,50,PCD: 1024 x 1024,38590,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 15:04:30,1.2.3,57,42,1,RGB: 1024 x 768,41,PCD: 1024 x 1024,15158,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 15:05:00,1.2.4,83,34,3,RGB: 1024 x 768,25,PCD: 1024 x 1024,38625,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 15:05:30,1.2.5,3,98,2,RGB: 1024 x 768,16,PCD: 1024 x 1024,13436,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 15:06:00,1.2.4,3,34,0,RGB: 1024 x 768,45,PCD: 1024 x 1024,26174,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 15:06:30,1.2.3,59,44,4,RGB: 1024 x 768,55,PCD: 1024 x 1024,19130,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 15:07:00,1.2.3,98,73,6,RGB: 1024 x 768,48,PCD: 1024 x 1024,17799,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 15:07:30,1.2.4,86,33,4,RGB: 1024 x 768,26,PCD: 1024 x 1024,20262,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 15:08:00,1.2.4,88,114,4,RGB: 1024 x 768,36,PCD: 1024 x 1024,29505,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 15:08:30,1.2.5,65,89,4,RGB: 1024 x 768,42,PCD: 1024 x 1024,20073,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 15:09:00,1.2.5,42,78,1,RGB: 1024 x 768,20,PCD: 1024 x 1024,39914,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 15:09:30,1.2.5,76,82,6,RGB: 1024 x 768,39,PCD: 1024 x 1024,38869,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 15:10:00,1.2.3,34,82,2,RGB: 1024 x 768,22,PCD: 1024 x 1024,23373,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 15:10:30,1.2.3,52,65,1,RGB: 1024 x 768,31,PCD: 1024 x 1024,22657,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 15:11:00,1.2.5,49,114,6,RGB: 1024 x 768,49,PCD: 1024 x 1024,10957,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 15:11:30,1.2.4,78,118,0,RGB: 1024 x 768,53,PCD: 1024 x 1024,21143,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 15:12:00,1.2.4,51,58,6,RGB: 1024 x 768,22,PCD: 1024 x 1024,35602,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 15:12:30,1.2.4,93,53,1,RGB: 1024 x 768,32,PCD: 1024 x 1024,24658,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 15:13:00,1.2.4,70,44,4,RGB: 1024 x 768,34,PCD: 1024 x 1024,23827,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 15:13:30,1.2.3,22,60,1,RGB: 1024 x 768,46,PCD: 1024 x 1024,38522,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 15:14:00,1.2.5,47,57,4,RGB: 1024 x 768,25,PCD: 1024 x 1024,20629,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 15:14:30,1.2.4,100,120,4,RGB: 1024 x 768,46,PCD: 1024 x 1024,11495,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 15:15:00,1.2.5,14,112,4,RGB: 1024 x 768,55,PCD: 1024 x 1024,31319,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 15:15:30,1.2.4,69,110,4,RGB: 1024 x 768,43,PCD: 1024 x 1024,36670,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 15:16:00,1.2.5,7,95,3,RGB: 1024 x 768,20,PCD: 1024 x 1024,11469,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 15:16:30,1.2.4,47,39,1,RGB: 1024 x 768,38,PCD: 1024 x 1024,35794,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 15:17:00,1.2.5,25,119,4,RGB: 1024 x 768,48,PCD: 1024 x 1024,33066,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 15:17:30,1.2.4,46,56,5,RGB: 1024 x 768,21,PCD: 1024 x 1024,39220,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 15:18:00,1.2.3,75,50,0,RGB: 1024 x 768,40,PCD: 1024 x 1024,35522,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 15:18:30,1.2.4,17,33,4,RGB: 1024 x 768,15,PCD: 1024 x 1024,20183,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 15:19:00,1.2.3,9,61,2,RGB: 1024 x 768,60,PCD: 1024 x 1024,11419,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 15:19:30,1.2.4,82,35,2,RGB: 1024 x 768,47,PCD: 1024 x 1024,13975,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 15:20:00,1.2.4,77,34,4,RGB: 1024 x 768,51,PCD: 1024 x 1024,30791,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 15:20:30,1.2.5,79,32,0,RGB: 1024 x 768,19,PCD: 1024 x 1024,23125,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 15:21:00,1.2.5,29,30,1,RGB: 1024 x 768,48,PCD: 1024 x 1024,30440,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 15:21:30,1.2.4,100,101,2,RGB: 1024 x 768,15,PCD: 1024 x 1024,35189,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 15:22:00,1.2.3,10,84,6,RGB: 1024 x 768,41,PCD: 1024 x 1024,16832,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 15:22:30,1.2.3,72,102,3,RGB: 1024 x 768,47,PCD: 1024 x 1024,28008,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 15:23:00,1.2.3,74,79,0,RGB: 1024 x 768,22,PCD: 1024 x 1024,32945,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 15:23:30,1.2.5,21,119,4,RGB: 1024 x 768,34,PCD: 1024 x 1024,34652,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 15:24:00,1.2.5,69,88,3,RGB: 1024 x 768,46,PCD: 1024 x 1024,28973,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 15:24:30,1.2.3,27,105,3,RGB: 1024 x 768,20,PCD: 1024 x 1024,27368,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 15:25:00,1.2.3,84,114,4,RGB: 1024 x 768,57,PCD: 1024 x 1024,36421,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 15:25:30,1.2.5,88,104,5,RGB: 1024 x 768,32,PCD: 1024 x 1024,24741,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 15:26:00,1.2.5,84,116,0,RGB: 1024 x 768,39,PCD: 1024 x 1024,20081,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 15:26:30,1.2.5,40,42,3,RGB: 1024 x 768,17,PCD: 1024 x 1024,33400,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 15:27:00,1.2.5,57,109,2,RGB: 1024 x 768,33,PCD: 1024 x 1024,32498,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 15:27:30,1.2.4,19,112,6,RGB: 1024 x 768,42,PCD: 1024 x 1024,25429,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 15:28:00,1.2.3,44,41,4,RGB: 1024 x 768,37,PCD: 1024 x 1024,22539,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 15:28:30,1.2.3,43,87,4,RGB: 1024 x 768,57,PCD: 1024 x 1024,25260,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 15:29:00,1.2.4,69,73,6,RGB: 1024 x 768,53,PCD: 1024 x 1024,27539,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 15:29:30,1.2.5,2,36,2,RGB: 1024 x 768,41,PCD: 1024 x 1024,18023,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 15:30:00,1.2.4,38,31,1,RGB: 1024 x 768,36,PCD: 1024 x 1024,18088,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 15:30:30,1.2.4,85,112,4,RGB: 1024 x 768,34,PCD: 1024 x 1024,16672,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 15:31:00,1.2.4,28,120,3,RGB: 1024 x 768,28,PCD: 1024 x 1024,38244,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 15:31:30,1.2.3,73,31,6,RGB: 1024 x 768,17,PCD: 1024 x 1024,10815,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 15:32:00,1.2.5,27,110,2,RGB: 1024 x 768,19,PCD: 1024 x 1024,17069,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 15:32:30,1.2.4,34,42,0,RGB: 1024 x 768,28,PCD: 1024 x 1024,29290,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 15:33:00,1.2.3,41,82,4,RGB: 1024 x 768,36,PCD: 1024 x 1024,19704,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 15:33:30,1.2.5,50,36,2,RGB: 1024 x 768,38,PCD: 1024 x 1024,30691,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 15:34:00,1.2.5,38,54,0,RGB: 1024 x 768,49,PCD: 1024 x 1024,29585,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 15:34:30,1.2.4,76,65,6,RGB: 1024 x 768,17,PCD: 1024 x 1024,10465,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 15:35:00,1.2.5,99,118,0,RGB: 1024 x 768,55,PCD: 1024 x 1024,18463,numeric array,numeric array,numeric array,not normal,malfunction,Potential DDoS attack or botnet activity
2023-02-16 15:35:30,1.2.5,16,72,2,RGB: 1024 x 768,26,PCD: 1024 x 1024,13595,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 15:36:00,1.2.3,43,33,2,RGB: 1024 x 768,29,PCD: 1024 x 1024,14417,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 15:36:30,1.2.3,17,39,6,RGB: 1024 x 768,47,PCD: 1024 x 1024,27250,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 15:37:00,1.2.3,10,92,2,RGB: 1024 x 768,34,PCD: 1024 x 1024,21903,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 15:37:30,1.2.4,22,47,1,RGB: 1024 x 768,60,PCD: 1024 x 1024,12592,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 15:38:00,1.2.4,96,47,3,RGB: 1024 x 768,58,PCD: 1024 x 1024,16444,numeric array,numeric array,numeric array,not normal,malfunction,Potential DDoS attack or botnet activity
2023-02-16 15:38:30,1.2.5,46,65,0,RGB: 1024 x 768,32,PCD: 1024 x 1024,38945,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 15:39:00,1.2.3,93,87,4,RGB: 1024 x 768,54,PCD: 1024 x 1024,15426,numeric array,numeric array,numeric array,not normal,malfunction,Potential DDoS attack or botnet activity
2023-02-16 15:39:30,1.2.3,53,83,4,RGB: 1024 x 768,33,PCD: 1024 x 1024,23473,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 15:40:00,1.2.3,68,81,3,RGB: 1024 x 768,57,PCD: 1024 x 1024,28600,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 15:40:30,1.2.4,53,33,4,RGB: 1024 x 768,27,PCD: 1024 x 1024,24182,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 15:41:00,1.2.4,94,82,6,RGB: 1024 x 768,45,PCD: 1024 x 1024,19104,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 15:41:30,1.2.5,85,50,1,RGB: 1024 x 768,59,PCD: 1024 x 1024,22406,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 15:42:00,1.2.5,47,59,2,RGB: 1024 x 768,57,PCD: 1024 x 1024,16046,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 15:42:30,1.2.5,24,87,4,RGB: 1024 x 768,41,PCD: 1024 x 1024,18114,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 15:43:00,1.2.5,1,77,1,RGB: 1024 x 768,38,PCD: 1024 x 1024,30582,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 15:43:30,1.2.4,14,37,0,RGB: 1024 x 768,30,PCD: 1024 x 1024,31112,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 15:44:00,1.2.5,76,73,5,RGB: 1024 x 768,48,PCD: 1024 x 1024,11272,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 15:44:30,1.2.5,78,39,5,RGB: 1024 x 768,56,PCD: 1024 x 1024,34615,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 15:45:00,1.2.5,7,46,1,RGB: 1024 x 768,32,PCD: 1024 x 1024,18509,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 15:45:30,1.2.4,24,87,4,RGB: 1024 x 768,59,PCD: 1024 x 1024,20566,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 15:46:00,1.2.3,74,42,4,RGB: 1024 x 768,23,PCD: 1024 x 1024,27905,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 15:46:30,1.2.5,90,37,2,RGB: 1024 x 768,60,PCD: 1024 x 1024,31939,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 15:47:00,1.2.5,97,49,6,RGB: 1024 x 768,35,PCD: 1024 x 1024,31292,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 15:47:30,1.2.4,59,93,6,RGB: 1024 x 768,27,PCD: 1024 x 1024,17967,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 15:48:00,1.2.5,19,42,3,RGB: 1024 x 768,59,PCD: 1024 x 1024,14277,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 15:48:30,1.2.4,69,39,6,RGB: 1024 x 768,40,PCD: 1024 x 1024,12551,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 15:49:00,1.2.4,10,61,1,RGB: 1024 x 768,30,PCD: 1024 x 1024,26436,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 15:49:30,1.2.3,23,111,4,RGB: 1024 x 768,20,PCD: 1024 x 1024,20562,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 15:50:00,1.2.3,30,79,1,RGB: 1024 x 768,29,PCD: 1024 x 1024,11602,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 15:50:30,1.2.4,33,117,1,RGB: 1024 x 768,32,PCD: 1024 x 1024,38390,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 15:51:00,1.2.3,42,93,4,RGB: 1024 x 768,25,PCD: 1024 x 1024,35983,numeric array,numeric array,numeric array,normal,n/a,no attack
2023-02-16 15:51:30,1.2.3,36,39,0,RGB: 1024 x 768,56,PCD: 1024 x 1024,29742,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 15:52:00,1.2.4,22,30,6,RGB: 1024 x 768,34,PCD: 1024 x 1024,29935,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 15:52:30,1.2.4,10,111,1,RGB: 1024 x 768,16,PCD: 1024 x 1024,22359,numeric array,numeric array,numeric array,not normal,malfunction,no attack
2023-02-16 15:53:00,1.2.4,43,109,1,RGB: 1024 x 768,16,PCD: 1024 x 1024,38160,numeric array,numeric array,numeric array,not normal,malfunction,no attack
